artid,catid,"art_name","art_name_eng","art_details","art_details_eng",art_price,id_ext,"ref",stock,"date",escaparate
561,187,"Rabano",""," Dimensiones cm de alto sin la parte verde.","",1.2,1,"C28     ",50,"9, 5, 2008",0
560,187,"Zanahoria mini",""," Dimensiones 1cm de alto sin la parte verde.Precio unidad","",1.2,1,"C27m    ",50,"9, 5, 2008",0
559,187,"Zanahoria",""," Dimensiones 2cm de alto sin la parte verde.Precio unidad","",1.2,1,"C27   ",150,"9, 5, 2008",0
553,187,"Col rizada",""," Dimensiones 1,5cm. de alto y 3,1 de diametro.Precio unidad.","",3,1,"C242   ",70,"9, 5, 2008",0
558,187,"Escarola",""," Otra variedad de lechuga. Dimensiones 1,5cm de alto. Precio unidad.","",1.8,1,"C26e   ",50,"9, 5, 2008",0
551,187,"Col mediana",""," Dimensiones 1,2cm. de alto y 1,4 de diametro. TambiÔøΩn disponible en verde si lo indica en comentarios. Precio unidad.","",2.5,1,"C23   ",40,"9, 5, 2008",0
550,187,"Col lombarda",""," Dimensiones 1,7cm. de alto y 2 de diametro.","",3,1,"C22l   ",75,"9, 5, 2008",0
549,187,"Col verde",""," Dimensiones 1,7cm. de alto y 2 de diametro.","",3,1,"C22v   ",75,"9, 5, 2008",0
548,187,"BrÛcoli",""," Dimensiones 2cm. de largo y 2,5 de diametro.","",2,1,"C21    ",40,"9, 5, 2008",0
547,187,"Puerro","","Ofrecemos dos modelos, abierto y cerrado, si tiene alguna preferencia, indiquelo en comentarios. Dimensiones 4,8cm. de largo. Precio unidad.","",1.8,1,"C20   ",75,"9, 5, 2008",0
546,187,"Calabacin","","Ofrecemos dos tonalidades, si tiene alguna preferencia, indiquelo en comentarios. Dimensiones 2,4cm. de largo. Precio unidad.","",1.8,1,"C19   ",75,"9, 5, 2008",0
521,189,"Queso negro",""," Diametro 2 cm. Precio unidad","",1.2,1,"C83c  ",100,"27, 4, 2008",0
520,189,"Queso amarillo",""," Diametro 2 cm. Precio unidad","",1.2,1,"C83b  ",100,"27, 4, 2008",0
519,189,"Queso blanco mini","","Modelado con barro. Diametro 1,4 cm. Precio unidad","",1.2,1,"C83am  ",100,"27, 4, 2008",0
518,189,"Queso blanco","","Modelado con barro. Diametro 2 cm. Precio unidad","",1.2,1,"C83  ",100,"27, 4, 2008",0
