catid,artid,cat_name,art_details,art_name,ref,art_price
187,561,Frutas y Verduras, Dimensiones cm de alto sin la parte verde.,Rabano,C28     ,1.2
187,560,Frutas y Verduras, Dimensiones 1cm de alto sin la parte verde.Precio unidad,Zanahoria mini,C27m    ,1.2
187,559,Frutas y Verduras, Dimensiones 2cm de alto sin la parte verde.Precio unidad,Zanahoria,C27   ,1.2
187,553,Frutas y Verduras," Dimensiones 1,5cm. de alto y 3,1 de diametro.Precio unidad.",Col rizada,C242   ,3
187,558,Frutas y Verduras," Otra variedad de lechuga. Dimensiones 1,5cm de alto. Precio unidad.",Escarola,C26e   ,1.8
187,551,Frutas y Verduras," Dimensiones 1,2cm. de alto y 1,4 de diametro. Tambiï¿½n disponible en verde si lo indica en comentarios. Precio unidad.",Col mediana,C23   ,2.5
187,550,Frutas y Verduras," Dimensiones 1,7cm. de alto y 2 de diametro.",Col lombarda,C22l   ,3
187,549,Frutas y Verduras," Dimensiones 1,7cm. de alto y 2 de diametro.",Col verde,C22v   ,3
187,548,Frutas y Verduras," Dimensiones 2cm. de largo y 2,5 de diametro.",Brócoli,C21    ,2
187,547,Frutas y Verduras,"Ofrecemos dos modelos, abierto y cerrado, si tiene alguna preferencia, indiquelo en comentarios. Dimensiones 4,8cm. de largo. Precio unidad.",Puerro,C20   ,1.8
187,546,Frutas y Verduras,"Ofrecemos dos tonalidades, si tiene alguna preferencia, indiquelo en comentarios. Dimensiones 2,4cm. de largo. Precio unidad.",Calabacin,C19   ,1.8
189,521,Alimentos varios, Diametro 2 cm. Precio unidad,Queso negro,C83c  ,1.2
189,520,Alimentos varios, Diametro 2 cm. Precio unidad,Queso amarillo,C83b  ,1.2
189,519,Alimentos varios,"Modelado con barro. Diametro 1,4 cm. Precio unidad",Queso blanco mini,C83am  ,1.2
189,518,Alimentos varios,Modelado con barro. Diametro 2 cm. Precio unidad,Queso blanco,C83  ,1.2
189,517,Alimentos varios,"Modelado con porcelana rusa. Diametro 0,6 cm. Precio unidad",Huevo frito mini,C82a  ,1.2
189,516,Alimentos varios,"Modelado con porcelana rusa. Diametro 1,2 cm. Precio unidad",Huevo frito,C82  ,1.2
188,515,Embutidos,Modelado con porcelana rusa. Tamaï¿½o 1cm. Precio unidad,Chorizo pequeño,C80   ,0.25
188,514,Embutidos,"Modelado con barro. Diametro 1,3cm y 2,2 de largo.Precio unidad.",Salami,C79   ,1.8
188,513,Embutidos,"Modelado con barro. Tamaï¿½o 2x1,7 cm.Precio unidad",Panceta,C78   ,1.8
188,512,Embutidos,"Modelado con barro. Tamaï¿½o 3,4 cm. de largo.",Butifarra cortada,C77   ,1.2
188,511,Embutidos,"Modelado con barro. Tamaï¿½o 3,4cm. de largo.",Morcilla cortada,C76   ,1.2
188,510,Embutidos,"Modelado con barro. Tamaï¿½o mini, 1,9 cm. de largo.",Salchichón mini,C75m   ,2
188,509,Embutidos,"Modelado con barro. Medida de largo 3,4 cm. Precio unidad.",Salchichón pimienta,C75   ,2.4
188,508,Embutidos," Medida de largo 1,3 cm. Precio unidad.",Morcï¿½n mini,C74m    ,1.9
188,507,Embutidos," Medida de largo 2,1 cm. Precio unidad.",Morcï¿½n,C74   ,2.4
188,506,Embutidos,"Modelado con barro . Medida de largo 2,7 cm. Si lo desea en otras medidas, indiquelo en comentarios. Precio unidad.",Butifarra de rosario,C73    ,1.5
188,505,Embutidos,"Modelado con barro . Medida de largo 2,7 cm. Si lo desea en otras medidas, indiquelo en comentarios. Precio unidad.",Morcilla de rosario,C72     ,1.5
188,504,Embutidos,"Modelado con barro . Medida de largo 2,7 cm. Si lo desea en otras medidas, indiquelo en comentarios. Precio unidad.",Chorizo de rosario,C71    ,1.5
188,503,Embutidos,"Modelado con barro. Tamaï¿½o mini, medida de largo 1,7 cm.  Precio unidad.",Butifarra h. mini,C70m   ,1.2
188,502,Embutidos,"Modelado con barro . Medida de largo 2,7 cm. Si lo desea en otras medidas, indiquelo en comentarios. Precio unidad.",Butifarra herradura,C70   ,1.2
188,501,Embutidos,"Modelado con barro. Tamaï¿½o mini, medida de largo 1,7 cm.  Precio unidad.",Morcilla h. mini,C69m   ,1.2
188,500,Embutidos,"Modelado con barro . Medida de largo 2,7 cm. Si lo desea en otras medidas, indiquelo en comentarios. Precio unidad.",Morcilla herradura,C69   ,1.2
188,499,Embutidos,"Modelado con barro. Tamaï¿½o mini, medida de largo 1,7 cm.  Precio unidad.",Chorizo h. mini,C68m   ,1.2
188,498,Embutidos,"Modelado con barro . Medida de largo 2,7 cm. Si lo desea en otras medidas, indiquelo en comentarios. Precio unidad.",Chorizo de herradura,C68   ,1.2
188,497,Embutidos,"Autentico jamï¿½n de \pata negra\"" modelado con porcelana. Medidas de la tabla 4",8x2,C67   ,4.8
188,496,Embutidos,"Autentico jamï¿½n de \pata negra\"" tamaï¿½o mini. Medida 3","5 cm de largo . Precio unidad.""",C66m   ,3.4
188,495,Embutidos,"Autentico jamï¿½n de \pata negra\"" modelado con porcelana rusa. Medida 6","3cm de largo. Si lo necesita de otro tamaï¿½o indiquelo en comentarios.""",C66     ,3.4
188,494,Embutidos,"Plato de barro con 2 huevos fritos y 2 chorizos. Diametro 3,4 cm",Plato huevo chorizo,C61   ,3.6
187,493,Frutas y Verduras,Elaborado con porcelana rusa teï¿½ida. Medidas 1 cm . Precio unidad,Aguacate,C18    ,0.35
187,492,Frutas y Verduras,"Elaborado con porcelana rusa teï¿½ida. Medidas 1,1 cm . Precio unidad",Alcachofas,C17   ,1
187,491,Frutas y Verduras,"Elaborado con porcelana rusa teï¿½ida. Medidas 0,3cm cada cereza. Precio de dos cerezas con cabo",Cerezas,C16   ,1
187,490,Frutas y Verduras,"Elaborado con porcelana rusa. Medidas 0,8cm de alto. Precio unidad",Champiñones,C14  ,1
187,489,Frutas y Verduras,"Elaborado con porcelana rusa teï¿½ida. Medidas 0,6 cm. Precio unidad",Castañas,C13    ,0.6
187,488,Frutas y Verduras,"Elaborado con porcelana rusa teï¿½ida. Medidas 0,2x 1,6 cm. Precio unidad",Judías verdes,C12   ,0.25
187,487,Frutas y Verduras,Elaborado con porcelana rusa teï¿½ida. Medidas 1cm. Precio unidad,Tomate,C11   ,0.7
187,486,Frutas y Verduras,"Elaborado con porcelana rusa teï¿½ida. Medidas 1,4 cm. Precio unidad",Berenjena,C10    ,0.7
187,485,Frutas y Verduras,"Elaborado con porcelana rusa teï¿½ida. Medidas 1,3 cm. Precio unidad",Pimiento rojo,C9b    ,0.7
